,FG% Difference,3P% Difference,2P% Difference,FT% Difference,AST Difference,STL Difference,BLK Difference,PTS Difference,Age Difference,ORtg Difference,DRtg Difference,NRtg Difference,Pace Difference,3PAr Difference,TS% Difference,eFG% Difference,TOV% Difference,ORB% Difference,DRB% Difference,Attend./G Difference,Win Pct Difference,Outcome
98,-0.012999999999999956,0.010000000000000009,-0.017000000000000015,-0.015000000000000013,-0.10000000000000142,0.5,-0.6000000000000005,-5.1000000000000085,-1.0,-3.200000000000003,-3.299999999999997,0.09999999999999998,-2.0,0.03799999999999998,-0.006000000000000005,-0.0040000000000000036,0.5999999999999996,-3.099999999999998,-1.1000000000000085,2730,0.09999999999999998,0
99,0.01599999999999996,0.017000000000000015,0.016000000000000014,0.03500000000000003,3.6000000000000014,0.7999999999999998,0.2999999999999998,5.8999999999999915,1.3000000000000007,2.8999999999999915,-4.800000000000011,7.699999999999999,2.799999999999997,0.008000000000000007,0.017000000000000015,0.020000000000000018,-2.200000000000001,-4.599999999999998,2.5,1963,0.6,0
100,-0.030999999999999972,-0.016000000000000014,-0.040000000000000036,-0.062000000000000055,-4.199999999999999,0.20000000000000107,1.0,-1.5,-2.6000000000000014,-3.200000000000003,-3.5,0.2999999999999998,1.8999999999999915,0.0020000000000000018,-0.03599999999999992,-0.03300000000000003,-0.09999999999999964,5.699999999999999,1.7000000000000028,-2316,0.0,1
101,0.038000000000000034,0.03799999999999998,0.04600000000000004,0.006000000000000005,1.8000000000000007,0.5999999999999996,0.5,9.200000000000003,2.099999999999998,9.299999999999997,-5.099999999999994,14.4,-0.29999999999999716,0.025000000000000022,0.050999999999999934,0.051000000000000045,-0.6999999999999993,-0.6999999999999993,0.5999999999999943,1666,0.7000000000000001,1
102,0.03699999999999998,0.055999999999999994,0.026000000000000023,0.04399999999999993,3.8999999999999986,1.4000000000000004,-0.2999999999999998,15.099999999999994,-0.09999999999999787,10.899999999999991,-2.0999999999999943,13.0,3.9000000000000057,0.008000000000000007,0.04299999999999993,0.050000000000000044,-2.5999999999999996,-1.1000000000000014,-2.4000000000000057,-615,0.10000000000000009,1
103,0.0020000000000000018,0.004999999999999949,-0.009000000000000008,-0.008000000000000007,2.0,0.1999999999999993,-0.09999999999999964,-1.1000000000000085,2.099999999999998,-1.2999999999999972,5.200000000000003,-6.5,0.29999999999999716,-0.032999999999999974,-0.0030000000000000027,-0.0020000000000000018,-1.0,-2.8999999999999986,0.20000000000000284,-731,-0.2,0
104,-0.009000000000000008,-0.0040000000000000036,-0.015999999999999903,-0.019000000000000017,-4.0,-0.7000000000000002,-0.09999999999999964,-3.200000000000003,1.6999999999999993,-1.7000000000000028,1.7000000000000028,-3.4000000000000004,-0.7000000000000028,-0.01100000000000001,-0.01100000000000001,-0.013000000000000012,0.6999999999999993,2.0,-1.4000000000000057,2843,-0.4,0
105,0.04799999999999999,0.028000000000000025,0.05499999999999994,0.02200000000000002,2.5,-0.09999999999999964,0.7000000000000002,9.899999999999991,2.5,9.400000000000006,1.2000000000000028,8.2,0.09999999999999432,-0.017000000000000015,0.050999999999999934,0.050999999999999934,-0.8000000000000007,-0.6000000000000014,0.6999999999999886,1040,0.0,1
106,0.023999999999999966,0.03699999999999998,0.019000000000000017,0.030000000000000027,4.600000000000001,-1.9999999999999991,0.2999999999999998,4.0,2.0,4.299999999999997,1.0999999999999943,3.1999999999999997,-0.30000000000001137,0.014000000000000012,0.03200000000000003,0.03400000000000003,0.5,-0.7999999999999972,2.299999999999997,-2773,0.0,1
107,0.01699999999999996,0.016000000000000014,-0.0010000000000000009,0.02300000000000002,-3.400000000000002,1.200000000000001,-1.0,-1.0,3.6999999999999993,0.6999999999999886,-6.900000000000006,7.6,-1.7999999999999972,-0.05399999999999999,0.014000000000000012,0.010000000000000009,1.0999999999999996,0.09999999999999787,4.5,-1401,0.6000000000000001,1
108,-0.045999999999999985,-0.022999999999999965,-0.051000000000000045,0.009000000000000008,-2.099999999999998,-0.5999999999999996,-0.7999999999999998,-10.400000000000006,-0.6999999999999993,-7.700000000000003,3.5,-11.200000000000001,-2.200000000000003,0.035999999999999976,-0.04299999999999993,-0.04400000000000004,0.6999999999999993,0.3000000000000007,-1.5,-1902,-0.30000000000000004,1
109,0.04299999999999998,0.04999999999999999,0.03499999999999992,0.014000000000000012,6.199999999999999,-0.40000000000000036,-0.5,12.0,0.9000000000000021,7.099999999999994,4.700000000000003,2.4000000000000004,3.8000000000000114,-0.010999999999999954,0.04399999999999993,0.052000000000000046,-1.0999999999999996,-4.0,-2.5,-1851,0.10000000000000009,1
110,-0.014000000000000012,-0.01100000000000001,-0.006000000000000005,-0.025000000000000022,2.1000000000000014,1.5,1.0999999999999996,2.4000000000000057,-2.6000000000000014,-3.9000000000000057,1.4000000000000057,-5.300000000000001,5.8999999999999915,0.02799999999999997,-0.010000000000000009,-0.010000000000000009,1.299999999999999,0.3000000000000007,1.5,-3360,-0.09999999999999998,1
111,0.01100000000000001,0.0040000000000000036,0.04299999999999993,0.03500000000000003,-3.0,-2.2,0.7000000000000002,2.5,0.29999999999999716,5.599999999999994,-0.6000000000000085,6.2,-3.0,0.06700000000000006,0.02300000000000002,0.025000000000000022,-1.5,-1.6000000000000014,0.4000000000000057,1092,0.10000000000000009,0
112,-0.010000000000000009,-0.0040000000000000036,-0.03300000000000003,-0.03600000000000003,-5.300000000000001,0.20000000000000107,-0.5,0.3999999999999915,-1.1000000000000014,0.8999999999999915,-6.400000000000006,7.3,-0.7000000000000028,-0.056999999999999995,-0.02199999999999991,-0.02100000000000002,-0.5,7.399999999999999,3.200000000000003,-492,0.3,1
113,0.0,0.0010000000000000009,-0.006000000000000005,0.0010000000000000009,2.3999999999999986,1.2000000000000002,1.0999999999999996,8.299999999999997,-3.1999999999999993,1.7999999999999972,-1.7000000000000028,3.5,5.700000000000003,-0.01899999999999996,-0.0050000000000000044,-0.0030000000000000027,0.40000000000000036,5.399999999999999,0.4000000000000057,-2063,-0.19999999999999996,1
