,Date,Visitor,VPTS,Home,HPTS,Outcome,Home Team,Home FG%,Home 3P%,Home 2P%,Home FT%,Home AST,Home STL,Home BLK,Home PTS,Home Age,Home ORtg,Home DRtg,Home NRtg,Home Pace,Home 3PAr,Home TS%,Home eFG%,Home TOV%,Home ORB%,Home DRB%,Home Attend./G,Visitor Team,Visitor FG%,Visitor 3P%,Visitor 2P%,Visitor FT%,Visitor AST,Visitor STL,Visitor BLK,Visitor PTS,Visitor Age,Visitor ORtg,Visitor DRtg,Visitor NRtg,Visitor Pace,Visitor 3PAr,Visitor TS%,Visitor eFG%,Visitor TOV%,Visitor ORB%,Visitor DRB%,Visitor Attend./G,Home Win Pct,Visitor Win Pct,FG% Difference,3P% Difference,2P% Difference,FT% Difference,AST Difference,STL Difference,BLK Difference,PTS Difference,Age Difference,ORtg Difference,DRtg Difference,NRtg Difference,Pace Difference,3PAr Difference,TS% Difference,eFG% Difference,TOV% Difference,ORB% Difference,DRB% Difference,Attend./G Difference,Win Pct Difference
0,2024-10-22,NYK,109,BOS,132,W,BOS,0.462,0.368,0.571,0.799,26.1,7.2,5.5,116.3,28.9,120.6,111.1,9.5,95.7,0.536,0.591,0.561,10.8,25.7,76.0,19156,NYK,0.486,0.369,0.558,0.8,27.5,8.2,4.0,115.8,27.5,118.5,114.3,4.2,96.7,0.382,0.589,0.556,11.9,26.0,74.5,19800,0.8,0.6,-0.023999999999999966,-0.0010000000000000009,0.0129999999999999,-0.0010000000000000009,-1.3999999999999986,-0.9999999999999991,1.5,0.5,1.3999999999999986,2.0999999999999943,-3.200000000000003,5.3,-1.0,0.15400000000000003,0.0020000000000000018,0.0050000000000000044,-1.0999999999999996,-0.3000000000000007,1.5,-644,0.20000000000000007
1,2024-10-22,MIN,103,LAL,110,W,LAL,0.479,0.366,0.562,0.785,26.0,7.7,4.5,113.4,27.9,115.9,114.7,1.2,97.6,0.425,0.593,0.557,12.7,23.3,74.5,18723,MIN,0.468,0.377,0.545,0.789,26.1,8.0,5.0,114.3,27.2,116.6,111.5,5.1,97.3,0.455,0.588,0.554,13.0,25.8,75.1,18835,0.6,0.8,0.010999999999999954,-0.01100000000000001,0.017000000000000015,-0.0040000000000000036,-0.10000000000000142,-0.2999999999999998,-0.5,-0.8999999999999915,0.6999999999999993,-0.6999999999999886,3.200000000000003,-3.8999999999999995,0.29999999999999716,-0.030000000000000027,0.0050000000000000044,0.0030000000000000027,-0.3000000000000007,-2.5,-0.5999999999999943,-112,-0.20000000000000007
2,2024-10-23,IND,115,DET,109,L,DET,0.476,0.362,0.55,0.774,26.4,8.0,5.3,115.5,25.8,115.0,113.1,1.9,99.8,0.394,0.58,0.547,13.0,26.2,76.0,19071,IND,0.488,0.368,0.568,0.789,29.2,8.5,5.5,117.4,25.8,116.5,114.3,2.2,99.9,0.4,0.594,0.562,11.8,21.3,74.5,16737,0.4,0.8,-0.01200000000000001,-0.006000000000000005,-0.017999999999999905,-0.015000000000000013,-2.8000000000000007,-0.5,-0.20000000000000018,-1.9000000000000057,0.0,-1.5,-1.2000000000000028,-0.30000000000000027,-0.10000000000000853,-0.006000000000000005,-0.014000000000000012,-0.015000000000000013,1.1999999999999993,4.899999999999999,1.5,2334,-0.4
3,2024-10-23,BKN,116,ATL,120,W,ATL,0.472,0.358,0.552,0.775,29.6,9.7,5.1,118.2,24.9,114.6,115.7,-1.1,102.6,0.41,0.579,0.546,13.2,26.3,76.0,16440,BKN,0.437,0.344,0.515,0.787,25.2,7.8,4.3,105.1,24.7,108.5,115.8,-7.3,96.4,0.458,0.552,0.516,13.7,24.5,75.0,17398,0.5,0.3,0.034999999999999976,0.014000000000000012,0.03700000000000003,-0.01200000000000001,4.400000000000002,1.8999999999999995,0.7999999999999998,13.100000000000009,0.1999999999999993,6.099999999999994,-0.09999999999999432,6.199999999999999,6.199999999999989,-0.04800000000000004,0.026999999999999913,0.030000000000000027,-0.5,1.8000000000000007,1.0,-958,0.2
4,2024-10-23,ORL,116,MIA,97,L,MIA,0.465,0.367,0.538,0.791,26.4,8.1,3.8,110.6,26.8,113.5,112.9,0.6,96.2,0.429,0.576,0.544,12.4,22.3,75.8,19716,ORL,0.445,0.318,0.533,0.775,23.0,8.9,6.0,105.4,24.9,109.4,109.6,-0.2,96.1,0.411,0.55,0.51,12.9,25.3,77.0,18588,0.6,0.7,0.020000000000000018,0.04899999999999999,0.0050000000000000044,0.016000000000000014,3.3999999999999986,-0.8000000000000007,-2.2,5.199999999999989,1.9000000000000021,4.099999999999994,3.3000000000000114,0.8,0.10000000000000853,0.018000000000000016,0.025999999999999912,0.03400000000000003,-0.5,-3.0,-1.2000000000000028,1128,-0.09999999999999998
5,2024-10-23,MIL,124,PHI,109,L,PHI,0.454,0.341,0.537,0.78,23.2,9.2,4.5,109.6,27.1,111.9,118.2,-6.3,97.4,0.426,0.563,0.527,12.3,23.4,71.8,19844,MIL,0.486,0.387,0.56,0.75,25.5,7.3,4.7,115.5,29.3,115.9,113.4,2.5,99.3,0.424,0.598,0.568,12.2,19.3,76.2,17437,0.1,0.8,-0.03199999999999997,-0.045999999999999985,-0.02300000000000002,0.030000000000000027,-2.3000000000000007,1.8999999999999995,-0.20000000000000018,-5.900000000000006,-2.1999999999999993,-4.0,4.799999999999997,-8.8,-1.8999999999999915,0.0020000000000000018,-0.03500000000000003,-0.040999999999999925,0.10000000000000142,4.099999999999998,-4.400000000000006,2407,-0.7000000000000001
6,2024-10-23,CLE,136,TOR,106,L,TOR,0.458,0.348,0.523,0.748,28.5,8.1,4.2,110.9,24.5,110.5,114.8,-4.3,99.7,0.373,0.553,0.522,13.3,27.3,73.9,18746,CLE,0.491,0.383,0.581,0.776,28.1,8.2,4.3,121.9,26.6,121.7,112.2,9.5,99.8,0.457,0.607,0.578,11.6,25.9,74.8,19432,0.5,0.6,-0.032999999999999974,-0.03500000000000003,-0.05799999999999994,-0.028000000000000025,0.3999999999999986,-0.09999999999999964,-0.09999999999999964,-11.0,-2.1000000000000014,-11.200000000000003,2.5999999999999943,-13.8,-0.09999999999999432,-0.08400000000000002,-0.05399999999999994,-0.05599999999999994,1.700000000000001,1.4000000000000021,-0.8999999999999915,-686,-0.09999999999999998
7,2024-10-23,CHA,110,HOU,105,L,HOU,0.455,0.353,0.518,0.738,23.3,8.4,5.0,114.3,24.9,115.3,110.8,4.5,98.6,0.384,0.553,0.523,11.8,31.7,76.2,17484,CHA,0.43,0.339,0.499,0.783,24.3,7.4,4.5,105.1,25.1,107.3,116.6,-9.3,97.6,0.43,0.537,0.503,13.7,26.5,74.5,17169,0.6,0.1,0.025000000000000022,0.013999999999999957,0.019000000000000017,-0.04500000000000004,-1.0,1.0,0.5,9.200000000000003,-0.20000000000000284,8.0,-5.799999999999997,13.8,1.0,-0.045999999999999985,0.016000000000000014,0.020000000000000018,-1.8999999999999986,5.199999999999999,1.7000000000000028,315,0.5
8,2024-10-23,CHI,111,NOP,123,W,NOP,0.452,0.347,0.518,0.754,25.8,8.5,5.2,109.8,25.9,110.4,119.9,-9.5,99.1,0.385,0.552,0.519,12.8,26.3,72.7,16815,CHI,0.47,0.367,0.556,0.809,29.1,7.6,4.7,117.8,25.2,114.1,115.6,-1.5,102.8,0.457,0.585,0.553,12.7,22.3,76.6,20138,0.2,0.7,-0.01799999999999996,-0.020000000000000018,-0.038000000000000034,-0.05500000000000005,-3.3000000000000007,0.9000000000000004,0.5,-8.0,0.6999999999999993,-3.6999999999999886,4.300000000000011,-8.0,-3.700000000000003,-0.07200000000000001,-0.03299999999999992,-0.03400000000000003,0.10000000000000142,4.0,-3.8999999999999915,-3323,-0.49999999999999994
9,2024-10-23,MEM,126,UTA,124,L,UTA,0.454,0.35,0.54,0.774,25.5,6.8,4.4,111.9,23.9,111.2,120.4,-9.2,100.0,0.449,0.568,0.533,14.9,26.9,74.1,18175,MEM,0.479,0.367,0.556,0.786,28.4,8.9,5.6,121.7,24.7,117.7,113.0,4.7,103.3,0.406,0.588,0.554,13.1,28.7,74.9,16660,0.1,0.4,-0.024999999999999967,-0.017000000000000015,-0.016000000000000014,-0.01200000000000001,-2.8999999999999986,-2.1000000000000005,-1.1999999999999993,-9.799999999999997,-0.8000000000000007,-6.5,7.400000000000006,-13.899999999999999,-3.299999999999997,0.04299999999999998,-0.020000000000000018,-0.02100000000000002,1.8000000000000007,-1.8000000000000007,-0.8000000000000114,1515,-0.30000000000000004
